Disease,Severity,Remedy
Alopecia Areata,Low,Apply Bhringraj oil 3 times a week
Alopecia Areata,Low,Drink fresh Amla juice daily
Alopecia Areata,Low,Practice daily head massage with Brahmi oil
Alopecia Areata,Moderate,Onion juice application on patches
Alopecia Areata,Moderate,Fenugreek (Methi) paste hair mask twice weekly
Alopecia Areata,Moderate,Ashwagandha supplementation for stress control
Alopecia Areata,High,Daily Bhringraj oil treatment
Alopecia Areata,High,Internal Triphala detox course
Alopecia Areata,High,Strict stress management with Yoga & Pranayama
Contact Dermatitis,Low,Apply Aloe vera gel for soothing
Contact Dermatitis,Low,Use sandalwood paste
Contact Dermatitis,Low,Wash scalp with mild herbal decoction
Contact Dermatitis,Moderate,Neem paste application
Contact Dermatitis,Moderate,Turmeric mixed with coconut oil
Contact Dermatitis,Moderate,Triphala water scalp rinse
Contact Dermatitis,High,Neem oil application regularly
Contact Dermatitis,High,Strict herbal-only hair care
Contact Dermatitis,High,Internal turmeric milk for inflammation control
Folliculitis,Low,Neem water scalp wash
Folliculitis,Low,Aloe vera gel application
Folliculitis,Low,Maintain scalp hygiene
Folliculitis,Moderate,Turmeric paste on infected follicles
Folliculitis,Moderate,Neem oil scalp massage
Folliculitis,Moderate,Triphala intake for detox
Folliculitis,High,Daily neem oil treatment
Folliculitis,High,Strict anti-inflammatory Ayurvedic diet
Folliculitis,High,Turmeric milk twice daily
Head Lice,Low,Neem oil overnight application
Head Lice,Low,Fine comb after oil massage
Head Lice,Low,Wash with Shikakai
Head Lice,Moderate,Camphor mixed with coconut oil
Head Lice,Moderate,Tea tree oil dilution
Head Lice,Moderate,Repeat neem treatment weekly
Head Lice,High,Neem oil application 3 consecutive days
Head Lice,High,Wash bedding & combs with neem water
Head Lice,High,Strict scalp hygiene routine
Lichen Planus,Low,Apply coconut oil massage
Lichen Planus,Low,Aloe vera gel soothing
Lichen Planus,Low,Consume Amla daily
Lichen Planus,Moderate,Neem paste application
Lichen Planus,Moderate,Sandalwood paste cooling therapy
Lichen Planus,Moderate,Triphala intake
Lichen Planus,High,Daily neem oil massage
Lichen Planus,High,Turmeric milk for inflammation
Lichen Planus,High,Strict Pitta-reducing Ayurvedic diet
Male Pattern Baldness,Low,Weekly Bhringraj oil massage
Male Pattern Baldness,Low,Amla hair mask
Male Pattern Baldness,Low,Balanced Ayurvedic diet
Male Pattern Baldness,Moderate,Fenugreek paste twice weekly
Male Pattern Baldness,Moderate,Onion juice scalp treatment
Male Pattern Baldness,Moderate,Ashwagandha for hormonal balance
Male Pattern Baldness,High,Daily Bhringraj oil therapy
Male Pattern Baldness,High,Brahmi oil massage routine
Male Pattern Baldness,High,Internal herbal supplements under guidance
Psoriasis,Low,Coconut oil massage
Psoriasis,Low,Aloe vera gel soothing
Psoriasis,Low,Avoid spicy food
Psoriasis,Moderate,Neem paste application
Psoriasis,Moderate,Turmeric milk daily
Psoriasis,Moderate,Triphala detox drink
Psoriasis,High,Daily neem oil treatment
Psoriasis,High,Strict anti-inflammatory Ayurvedic diet
Psoriasis,High,Regular Panchakarma consultation
Seborrheic Dermatitis,Low,Tea tree oil dilution
Seborrheic Dermatitis,Low,Light coconut oil massage
Seborrheic Dermatitis,Low,Mild herbal shampoo
Seborrheic Dermatitis,Moderate,Neem oil massage twice weekly
Seborrheic Dermatitis,Moderate,Aloe vera soothing therapy
Seborrheic Dermatitis,Moderate,Triphala scalp rinse
Seborrheic Dermatitis,High,Daily neem oil application
Seborrheic Dermatitis,High,Strict oil-control Ayurvedic diet
Seborrheic Dermatitis,High,Internal herbal detox
Telogen Effluvium,Low,Ashwagandha for stress relief
Telogen Effluvium,Low,Bhringraj oil massage
Telogen Effluvium,Low,Protein-rich Ayurvedic diet
Telogen Effluvium,Moderate,Amla juice daily
Telogen Effluvium,Moderate,Brahmi oil massage
Telogen Effluvium,Moderate,Yoga & meditation routine
Telogen Effluvium,High,Daily Bhringraj oil therapy
Telogen Effluvium,High,Internal Rasayana treatment
Telogen Effluvium,High,Stress elimination practices
Tinea Capitis,Low,Neem water scalp wash
Tinea Capitis,Low,Turmeric paste application
Tinea Capitis,Low,Maintain scalp hygiene
Tinea Capitis,Moderate,Tea tree oil dilution
Tinea Capitis,Moderate,Neem paste daily
Tinea Capitis,Moderate,Aloe vera gel soothing
Tinea Capitis,High,Daily neem oil application
Tinea Capitis,High,Strict antifungal Ayurvedic herbs
Tinea Capitis,High,Wash pillow covers with neem water
